(("Nome","Descrição","Preço","Quantidade"
"DPS 220V","Ideal para instalações elétricas","74.14","61"
"Bateria Estacionária","Excelente custo-benefício","154.87","61"
"Painel Solar 150W","Ideal para instalações elétricas","190.12","58"
"Fio 4mm","Indicado para ambientes internos e externos","157.55","38"
"Cabo Coaxial","Material resistente à umidade","442.71","18"
"Dimer LED","Fácil instalação","232.05","100"
"Tomada Inteligente Wi-Fi","Produto certificado pelo Inmetro","497.96","49"
"Disjuntor 10A","Produto de alta qualidade","338.98","64"
"Tomada USB","Excelente custo-benefício","493.57","57"
"Caixa de Passagem 4x4","Suporte a diversas tensões","484.15","87"
"Lâmpada Dicroica LED","Ideal para instalações elétricas","80.24","51"
"Campainha Eletrônica","Modelo compacto e eficiente","466.99","77"
"Painel LED 60x60","Ideal para instalações elétricas","9.86","43"
"Painel Solar 150W","Alta resistência e durabilidade","58.99","82"
"Tomada Inteligente Wi-Fi","Produto de longa duração","390.82","58"
"Disjuntor 10A","Suporte a diversas tensões","267.63","23"
"Régua de Tomadas","Fácil instalação","212.62","71"
"Disjuntor 32A","Ideal para instalações elétricas","414.39","11"
"Fio 4mm","Produto de alta qualidade","364.87","69"
"Abraçadeira Plástica","Material resistente a altas temperaturas","262.24","58"
"Régua de Tomadas","Desenvolvido para máxima performance","107.06","50"
"Controlador de Carga","Produto de longa duração","365.77","15"
"Cabo Coaxial","Excelente custo-benefício","399.29","97"
"Relé Temporizador","Ideal para instalações elétricas","336.16","1"
"Lâmpada LED 15W","Material resistente a altas temperaturas","288.87","67"
"Luminária de Emergência","Produto de longa duração","450.29","2"
"Tomada 10A","Ideal para instalações elétricas","298.04","36"
"Interruptor Simples","Design moderno e funcional","106.77","50"
"Plafon LED 24W","Material resistente à umidade","380.9","90"
"Caixa de Passagem 4x2","Material resistente a altas temperaturas","430.82","57"
"Caixa de Passagem 4x4","Indicado para ambientes internos e externos","492.71","68"
"Fita LED 5m","Fácil instalação","101.24","61"
"Sensor de Presença","Material resistente à umidade","354.04","40"
"Interruptor Duplo","Excelente custo-benefício","338.85","22"
"Abraçadeira Plástica","Material resistente a altas temperaturas","175.7","87"
"Controlador de Carga","Alta capacidade de condução","426.94","89"
"Cabo de Rede CAT6","Design moderno e funcional","194.31","10"
"Bateria Estacionária","Material resistente a altas temperaturas","488.72","57"
"Campainha Eletrônica","Alta capacidade de condução","423.34","97"
"Caixa de Passagem 4x2","Com tecnologia avançada","50.81","90"
"Interruptor Inteligente","Ideal para instalações elétricas","333.6","8"
"Disjuntor 32A","Acompanha manual de instalação","171.09","29"
"Caixa de Passagem 4x2","Design moderno e funcional","225.67","50"
"Tomada 20A","Indicado para ambientes internos e externos","46.57","99"
"Lâmpada Dicroica LED","Material resistente à umidade","460.94","67"
"Luva de Emenda","Baixo consumo de energia","416.29","100"
